Place Name,State,Latitude,Longitude
"KAS Nagar, Karungalpalayam, Erode, Tamil Nadu",Not Delhi,11.351302,77.738434
"Bhadrakali, Uttarpara Kotrung, West Bengal",Not Delhi,22.674788,88.347237
"Kautha, Nanded, Maharashtra",Not Delhi,19.135532,77.323830
"Adarsh Colony, Faridabad, Haryana",Not Delhi,28.406277,77.295822
"Subhash Nagar, Hardoi, Uttar Pradesh",Not Delhi,27.399679,80.119270
"Hanuman Colony, Guna, Madhya Pradesh",Not Delhi,24.646311,77.316887
"Anna Nagar, Palani, Tamil Nadu",Not Delhi,10.452986,77.517242
"Chandausi, Moradabad, Uttar Pradesh",Not Delhi,28.816015,78.771858
"Kalu Kuwana, Banda, Uttar Pradesh",Not Delhi,25.475416,80.344963
"Air Force Area, Uttar Pradesh",Not Delhi,26.756035,83.424019
"Anand Nagar, Osmanabad, Maharashtra",Not Delhi,18.172821,76.038010
"Old City, Gondal, Gujarat",Not Delhi,21.959015,70.800842
"Gobarsahi, Muzaffarpur, Bihar",Not Delhi,26.107294,85.358841
"Green Park, Dhule, Maharashtra",Not Delhi,20.888765,74.771164
"Basavanagar, Bengaluru, Karnataka",Not Delhi,12.967183,77.680382
"Somesh Vihar, Chhawla, New Delhi",Delhi,28.556580,77.014702
"Sago Bandh, Uttar Pradesh",Not Delhi,23.903416,83.115692
"Pratap Nagar, Mayur Vihar, New Delhi",Delhi,28.624535,77.104065
"Ranga Reddy, Telangana",Not Delhi,17.390654,77.834694
"Vellayil, Kozhikode, Kerala",Not Delhi,11.267495,75.772820
"Yamuna Vihar, Shahdara, New Delhi",Delhi,28.700939,77.272102
"Eranhippalam, Kozhikode, Kerala",Not Delhi,11.279343,75.784348
"Haridarshan Society, Kamrej, Gujarat",Not Delhi,21.265884,72.951202
"Edodi, Vadakara, Kerala",Not Delhi,11.597591,75.593025
"Ramayan Nagari, Bhandara, Maharashtra",Not Delhi,21.175398,79.651016
"Kshepakali Para, Katwa, West Bengal",Not Delhi,23.645163,88.128990
"Nehru Park, Akola, Maharashtra",Not Delhi,20.704458,77.000114
"Vatika Colony, Padrauna, Uttar Pradesh",Not Delhi,26.896267,83.980400
"Magrahat-II, West Bengal",Not Delhi,22.240862,88.378754
"Meerut Cantt, Meerut, Uttar Pradesh",Not Delhi,28.993757,77.682243
"Vedayapalem, Andhra Pradesh",Not Delhi,14.411602,79.957672
"Ramnagar, Bardoli, Gujarat",Not Delhi,21.127951,73.103119
"Damaali, Maharashtra",Not Delhi,19.909174,73.225578
