Place Name,State,Latitude,Longitude
"Jamb, Hinganghat",Maharashtra,20.538774,78.831268
"Esplanade, Chennai",Tamil Nadu,13.084411,80.281616
"Namarer Bagan, Chandannagar",West Bengal,22.846764,88.367058
"Kali Bazar, Gangasagar",West Bengal,21.647655,88.076469
"Kaliket Nagar, Danapur",Bihar,25.611723,85.04673
"Shah-Hamdan Colony, Srinagar, Kashmir",Jammu and Kashmir,34.035198,74.817482
Kukatpally,Not Delhi,17.494944,78.399734
"Kanaknagar, Rajkot",Gujarat,22.297983,70.824631
"H block, Sector 63, Noida",Uttar Pradesh,28.628454,77.376945
"Santoshpur, Kolkata",West Bengal,22.487022,88.387131
"Birla Nagar, Gwalior",Madhya Pradesh,26.233717,78.18779
Kendua Sonatore,West Bengal,23.899002,87.538818
"Pipradeora, Maharajganj",Uttar Pradesh,27.140041,83.550888
"Arra, Kanpur",Uttar Pradesh,26.401413,80.302307
"Araria Mahalla, Araria",Bihar,26.134132,87.448013
"Bapu Park, South Extension I, New Delhi",Delhi,28.575327,77.223526
"Uttarahalli Hobli, Bengaluru",Karnataka,12.90688,77.552177
"Tavarekere, Bengaluru",Karnataka,12.926159,77.605797
"Hebbal, Bengaluru",Karnataka,13.035781,77.597008
Chikkajala,Karnataka,13.171509,77.63533
"Majestic, Bengaluru",Karnataka,12.977439,77.570839
Yeshwanthpur,Karnataka,13.027966,77.540916
"Sonnenahalli, Bengaluru",Karnataka,12.937803,77.483101
"Nagarbhavi, Bengaluru",Karnataka,12.961025,77.512688
Bahadurpura,Hyderabad,17.357674,78.461906
"Edappally, Kochi",Kerala,10.023286,76.311371
Mukundwadi,Maharashtra,19.855619,75.380325
"Vikaspuri, New Delhi",Delhi,28.638754,77.073807
"Nathalal Colony, Ahmedabad",Gujarat,23.046453,72.560043
"Nigam Nagar, Ahmedabad",Gujarat,23.110266,72.59169
"Moula Ali, Secunderabad",Hyderabad,17.460293,78.557838
"Konark Nagar, Nashik",Maharashtra,20.021883,73.849785
"Kendranagar, Vadodara",Gujarat,22.291061,73.243126
"Kapila Prasad, Bhubaneshwar",Odisha,20.234053,85.816391
"Dangui Colony, Mapusa",Goa,15.596698,73.813065
